Date,Hour,Campaign Id,Placement Id,Creative Id,DSP Placement,DSP Name,Country,State,City,Zip,DMA Code,DMA Description,Domain,Browser,Device Type,Device Vendor,Device OS,Device OS Version,Requested Impressions,Loaded Impressions,Rendered Impressions,Friendly IFrame Impressions,Viewable Impressions,Mobile Optimized Impressions,PSUnitView,Clicks,Unit Engagement,Ad Density,Time Spent,Exposure Time,heavy-ad-intervention,non-mraid-impression,user_press_start,user_tap_close_isis,user_tap_exiturl,user_tap_exiturl_fallback,user_tap_open_isis
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Dothan,36302.0,606.0,Dothan,heraldweekly.com,Chrome,Mobile,Samsung,Android,12,15.0,14.0,9.0,12,9.0,12,4.0,81,1.0,116.0,0.0,10.009,0.0,13.0,1.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Huntsville,35805.0,691.0,Huntsville - Decatur (Flor),heraldweekly.com,Chrome,Mobile,Generic_Android_Tablet,Android,9,0.0,0.0,0.0,4,0.0,4,0.0,28,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Huntsville,35893.0,691.0,Huntsville - Decatur (Flor),honesttopaws.com,Facebook,Mobile,Generic_Android,Android,11,3.0,2.0,3.0,2,1.0,2,2.0,15,0.0,24.0,0.0,15.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Huntsville,35899.0,691.0,Huntsville - Decatur (Flor),pupabc.com,Facebook,Mobile,Apple,iOS,15,0.0,1.0,0.0,0,1.0,0,0.0,4,0.0,0.0,0.0,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Montevallo,35115.0,630.0,Birmingham (Ann & Tusc),heraldweekly.com,Safari,Mobile,Apple,iOS,15,1.0,2.0,0.0,2,2.0,2,1.0,12,0.0,18.0,0.0,0.003,0.0,2.0,0.0,0.0,0.0,0.0,1.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Rock Mills,N/A,N/A,N/A,honesttopaws.com,Facebook,Mobile,Google,Android,12,0.0,1.0,0.0,1,0.0,1,1.0,3,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Theodore,36582.0,686.0,Mobile - Pensacola (Ft Walt),heraldweekly.com,Facebook,Mobile,Samsung,Android,10,4.0,4.0,5.0,7,5.0,7,3.0,45,1.0,8.0,0.0,12.008,0.0,6.0,1.0,1.0,1.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alabama,Wetumpka,36092.0,698.0,Montgomery (Selma),heraldweekly.com,Facebook,Mobile,Samsung,Android,7,3.0,3.0,3.0,3,0.0,3,0.0,16,0.0,5.0,0.0,0.003,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Alaska,Anchorage (Midtown),99503.0,743.0,Anchorage,heraldweekly.com,Chrome,Mobile,Samsung,Android,12,1.0,0.0,1.0,2,1.0,2,2.0,18,0.0,17.0,0.0,10.004,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,19,campaign_id,6f104bbb5dc80fcbbac2cce23ca18d76,3b5125b1110473ae2a33c873d6d711b4,2219393,N/A,United States,Arizona,Chandler,85246.0,753.0,Phoenix (Prescott),freshedits.com,Facebook,Mobile,Apple,iOS,15,0.0,0.0,0.0,0,0.0,0,1.0,4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
